metadata: N/A
[1489235852.06, 66.83]
[1489235852.16, 66.89]
[1489235852.27, 69.32]
[1489235852.37, 67.68]
[1489235852.47, 66.8]
[1489235852.58, 67.24]
[1489235852.68, 66.82]
[1489235852.79, 66.4]
[1489235852.89, 67.68]
[1489235853.0, 67.35]
[1489235853.1, 67.28]
[1489235853.21, 67.68]
[1489235853.31, 66.85]
[1489235853.42, 66.8]
[1489235853.52, 66.83]
[1489235853.63, 67.71]
[1489235853.73, 67.28]
[1489235853.84, 69.32]
[1489235853.94, 69.34]
[1489235854.05, 67.33]
[1489235854.15, 66.89]
[1489235854.25, 67.79]
[1489235854.36, 67.3]
[1489235854.46, 70.19]
[1489235854.57, 68.19]
[1489235854.67, 67.04]
[1489235854.78, 67.4]
[1489235854.88, 67.4]
[1489235854.99, 67.45]
[1489235855.09, 66.99]
[1489235855.2, 66.97]
[1489235855.3, 67.04]
[1489235855.41, 67.04]
[1489235855.51, 67.02]
[1489235855.62, 66.61]
[1489235855.72, 66.59]
[1489235855.83, 67.02]
[1489235855.93, 67.38]
[1489235856.04, 67.06]
[1489235856.14, 67.38]
[1489235856.25, 67.04]
[1489235856.35, 69.82]
[1489235856.46, 69.43]
[1489235856.56, 67.42]
[1489235856.67, 67.81]
[1489235856.77, 67.85]
[1489235856.87, 69.47]
[1489235856.98, 68.98]
[1489235857.08, 69.8]
[1489235857.19, 68.19]
[1489235857.29, 66.95]
[1489235857.4, 66.99]
[1489235857.5, 66.99]
[1489235857.61, 67.4]
[1489235857.71, 67.42]
[1489235857.82, 70.59]
[1489235857.92, 70.57]
[1489235858.03, 70.59]
[1489235858.13, 66.92]
[1489235858.24, 66.92]
[1489235858.34, 69.78]
[1489235858.45, 69.75]
[1489235858.55, 70.61]
[1489235858.66, 70.63]
[1489235858.76, 68.64]
[1489235858.87, 68.98]
[1489235858.97, 68.19]
[1489235859.08, 67.42]
[1489235859.18, 67.81]
[1489235859.29, 66.52]
[1489235859.39, 66.92]
[1489235859.5, 67.81]
[1489235859.6, 66.95]
[1489235859.71, 66.96]
[1489235859.81, 66.95]
[1489235859.92, 66.99]
[1489235860.02, 66.92]
[1489235860.12, 66.99]
[1489235860.23, 68.17]
[1489235860.33, 67.0]
[1489235860.44, 66.94]
[1489235860.54, 67.38]
[1489235860.65, 67.38]
[1489235860.75, 67.74]
[1489235860.86, 68.22]
[1489235860.96, 65.45]
[1489235861.07, 66.93]
[1489235861.17, 67.35]
[1489235861.28, 67.4]
[1489235861.38, 66.96]
[1489235861.49, 66.93]
[1489235861.59, 68.65]
[1489235861.7, 66.94]
[1489235861.8, 69.4]
[1489235861.91, 67.38]
[1489235862.01, 67.78]
[1489235862.12, 68.19]
[1489235862.22, 66.92]
[1489235862.33, 66.94]
[1489235862.43, 66.49]
[1489235862.53, 66.53]
[1489235862.64, 66.94]
[1489235862.74, 67.35]
[1489235862.85, 66.9]
[1489235862.95, 66.89]
[1489235863.06, 66.97]
[1489235863.16, 67.33]
[1489235863.27, 66.96]
[1489235863.37, 67.32]
[1489235863.48, 67.37]
[1489235863.58, 66.96]
[1489235863.69, 67.35]
[1489235863.79, 67.33]
[1489235863.9, 67.32]
[1489235864.0, 67.72]
[1489235864.11, 67.29]
[1489235864.21, 66.88]
[1489235864.31, 66.48]
[1489235864.42, 67.35]
[1489235864.52, 67.32]
[1489235864.63, 66.47]
[1489235864.73, 67.33]
[1489235864.84, 67.33]
[1489235864.94, 66.84]
[1489235865.05, 67.26]
[1489235865.15, 67.32]
[1489235865.26, 67.29]
[1489235865.36, 66.92]
[1489235865.47, 67.74]
[1489235865.57, 66.44]
[1489235865.68, 70.54]
[1489235865.78, 69.3]
[1489235865.89, 69.71]
[1489235865.99, 69.34]
[1489235866.1, 66.85]
[1489235866.2, 69.31]
[1489235866.31, 67.28]
[1489235866.41, 67.72]
[1489235866.51, 69.7]
[1489235866.62, 66.89]
[1489235866.72, 66.47]
[1489235866.83, 66.46]
[1489235866.93, 67.28]
[1489235867.04, 70.14]
[1489235867.14, 70.95]
[1489235867.25, 70.95]
[1489235867.35, 71.34]
[1489235867.46, 73.4]
[1489235867.56, 70.09]
[1489235867.67, 70.13]
[1489235867.77, 70.52]
[1489235867.88, 66.97]
[1489235867.98, 71.42]
[1489235868.09, 69.34]
[1489235868.19, 69.7]
[1489235868.3, 69.74]
[1489235868.4, 69.73]
[1489235868.51, 69.77]
[1489235868.61, 69.72]
[1489235868.72, 66.49]
